date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:02	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202017%2006:49:01%20GMT	http://localhost/robots.txt		(from )
14:49:04	60716/60716	---MC-	200	added ('OK')	text/html	date:Mon,%2024%20Jul%202017%2006:49:01%20GMT	http://localhost/tigress/	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/index.html	(from )
14:49:05	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2024%20Jul%202017%2006:49:04%20GMT	http://localhost/tigress/xmlrpc.php	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/xmlrpc.php	(from http://localhost/tigress/)
14:49:05	1829/1829	---M--	200	added ('OK')	text/css	etag:%22725-5546b07f0aac0%22	http://localhost/tigress/wp-content/plugins/captcha/css/front_end_style.css?ver=4.3.1	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/wp-content/plugins/captcha/css/front_end_style5b31.css	(from http://localhost/tigress/)
14:49:05	46364/46364	---M--	200	added ('OK')	text/css	etag:%22b51c-5511a4c244c00%22	http://localhost/tigress/wp-includes/css/dashicons.min.css?ver=4.7.5	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/wp-includes/css/dashicons.min66f2.css	(from http://localhost/tigress/)
14:49:07	1747/1747	---M--	200	added ('OK')	text/css	etag:%226d3-5546b07f0aac0%22	http://localhost/tigress/wp-content/plugins/captcha/css/desktop_style.css?ver=4.3.1	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/wp-content/plugins/captcha/css/desktop_style5b31.css	(from http://localhost/tigress/)
14:49:07	7870/7870	---M--	200	added ('OK')	text/css	etag:%221ebe-55132f50c6c40%22	http://localhost/tigress/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.4.9	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/wp-content/plugins/instagram-feed/css/sb-instagram.mine29d.css	(from http://localhost/tigress/)
14:49:07	871/871	---M--	200	added ('OK')	application/rss+xml	etag:%22393fd3d131afb208b1444ff7556f876f%22	http://localhost/tigress/feed/	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/feed/index.html	(from http://localhost/tigress/)
14:49:07	762/762	---M--	200	added ('OK')	application/rss+xml	etag:%2206cf0813ff162cdb26133ea9caa8ddd7%22	http://localhost/tigress/comments/feed/	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/comments/feed/index.html	(from http://localhost/tigress/)
14:49:08	1315/1315	---M--	200	added ('OK')	text/css	etag:%22523-5538b1f76eb40%22	http://localhost/tigress/wp-content/plugins/siteorigin-panels/css/front-flex.css?ver=2.5.8	C:/laragon/www/tigress/wp-content/themes/flash/Tigress/localhost/tigress/wp-content/plugins/siteorigin-panels/css/front-flexed42.css	(from http://localhost/tigress/)
